edad,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,hacinamiento,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,log_alquiler,log_ingreso_pc,jefe_anios_estudio,jefe_edad,jefe_sexo,trabajo_bin,area_nombre_Urbana,depto_nombre_Chuquisaca,depto_nombre_Cochabamba,depto_nombre_La Paz,depto_nombre_Oruro,depto_nombre_Pando,depto_nombre_Potosí,depto_nombre_Santa Cruz,depto_nombre_Tarija,asistencia_real,pred_lr,proba_lr,pred_rf,proba_rf
10.0,1,0,1,1,1.6666666666666667,2,1,1,1,5.303304908059076,8.699681400989514,8.0,44.0,1.0,0,False,False,False,False,False,False,True,False,False,1,0,0.3921888560094226,0,0.2779916597591253
8.0,1,0,1,1,1.0,3,1,1,1,6.2166061010848646,0.0,9.0,65.0,2.0,0,True,False,False,False,False,False,False,True,False,1,1,0.5167717093937185,0,0.48012548095990765
7.0,0,0,1,1,0.8333333333333334,3,1,1,1,6.90875477931522,0.0,12.0,41.0,1.0,0,True,False,False,False,True,False,False,False,False,1,0,0.36259066725116595,0,0.45823753095361974
12.0,1,0,1,1,2.5,2,1,1,0,6.2166061010848646,4.110873864173311,3.0,39.0,1.0,1,False,False,False,True,False,False,False,False,False,1,1,0.6140837886223149,1,0.6096614442235532
10.0,1,0,1,1,4.0,3,1,1,1,6.2166061010848646,3.258096538021482,11.0,41.0,2.0,0,True,False,False,False,True,False,False,False,False,0,0,0.3600521091864258,0,0.41066846562333836
12.0,0,0,1,1,2.5,3,1,1,1,6.2166061010848646,0.0,12.0,46.0,1.0,0,True,False,False,False,False,False,False,True,False,0,1,0.5159220301426811,0,0.4863145280138667
13.0,0,0,1,1,1.0,3,1,1,0,6.7464121285733745,0.0,17.0,43.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.823673785189201,1,0.8601321637342558
14.0,1,0,1,1,3.0,3,1,1,1,6.2166061010848646,0.0,12.0,44.0,2.0,0,True,False,False,False,False,False,False,True,False,1,1,0.5028871867866573,0,0.49581469414859286
7.0,1,0,1,1,2.5,2,0,1,1,4.61512051684126,7.496097345175956,5.0,51.0,1.0,0,False,True,False,False,False,False,False,False,False,0,0,0.19952036586864025,0,0.2503840603314037
17.0,1,0,1,1,6.0,3,1,1,1,6.2166061010848646,4.43477720005941,10.0,36.0,2.0,0,True,False,False,False,True,False,False,False,False,1,0,0.3496625772649874,0,0.3856095749243009
14.0,0,0,1,1,1.6666666666666667,2,1,1,1,6.90875477931522,0.0,12.0,38.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.391186868593059,0,0.3306638481876422
13.0,1,0,1,1,1.6666666666666667,3,1,1,1,5.303304908059076,0.0,2.0,47.0,1.0,0,False,True,False,False,False,False,False,False,False,1,0,0.26857535974074276,0,0.41402182668437326
17.0,0,0,1,1,1.75,2,1,1,0,4.61512051684126,7.369420670111807,3.0,37.0,1.0,0,False,True,False,False,False,False,False,False,False,0,0,0.29270508725808364,0,0.2708507042619905
10.0,0,0,1,1,1.3333333333333333,3,1,1,1,6.90875477931522,5.5254529391317835,12.0,35.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.44279416488149487,0,0.42451211763247476
8.0,1,0,1,1,1.5,2,1,1,0,3.9318256327243257,8.11202803831707,12.0,51.0,1.0,0,False,False,False,False,False,False,True,False,False,1,1,0.5113513818782642,0,0.43483926535189066
15.0,1,1,1,1,1.3333333333333333,2,1,1,0,6.2166061010848646,3.4339872044851463,5.0,42.0,1.0,0,False,False,False,True,False,False,False,False,False,1,1,0.7944275296939167,1,0.6281164314447616
8.0,1,0,1,1,1.6666666666666667,2,1,1,0,6.2166061010848646,6.68586094706836,12.0,28.0,1.0,0,False,False,False,False,True,False,False,False,False,0,0,0.3401288836384041,0,0.3116144994032557
10.0,1,0,1,1,2.0,3,1,1,1,6.2166061010848646,0.0,13.0,46.0,1.0,0,True,False,False,False,False,False,True,False,False,0,0,0.4918037040847687,0,0.4152952432353098
19.0,1,0,1,1,2.0,3,1,1,1,6.2166061010848646,4.330733340286331,12.0,45.0,2.0,1,True,False,False,True,False,False,False,False,False,0,1,0.6146825990627443,1,0.5955197359972021
8.0,0,0,1,1,1.6666666666666667,3,1,1,1,6.2166061010848646,6.90875477931522,14.0,32.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7612467536152002,1,0.8304772072068353
9.0,0,0,1,1,3.5,3,1,1,1,6.2166061010848646,6.572682063274631,12.0,44.0,1.0,0,True,False,False,False,False,False,False,True,False,0,1,0.5103127569261235,1,0.5037433243354121
15.0,0,1,1,1,2.0,3,0,1,1,5.017279836814924,5.826982908442358,3.0,54.0,1.0,0,True,True,False,False,False,False,False,False,False,0,0,0.3195790861800707,0,0.38735226233866116
15.0,0,0,1,1,2.0,3,1,1,1,6.90875477931522,0.0,5.0,58.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.4553988995274702,0,0.4364728293212082
7.0,1,0,1,1,2.5,3,1,1,0,6.2166061010848646,0.0,12.0,38.0,1.0,0,True,False,False,False,False,False,False,True,False,1,1,0.5952016863455564,1,0.5649805120074309
12.0,1,0,1,1,1.5,3,0,0,1,5.993961427306569,0.0,12.0,37.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.43004897506892986,0,0.4794518457814812
17.0,0,0,1,1,1.4,3,1,1,1,5.993961427306569,7.04216128901732,12.0,41.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7543951044754942,1,0.7972564207720783
10.0,1,0,1,1,2.5,3,0,1,1,6.2166061010848646,2.70805020110221,10.0,46.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.4034258260792454,0,0.4243845843667428
15.0,0,0,1,1,0.6666666666666666,3,1,1,1,7.313886831633462,0.0,17.0,42.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7549404559750331,1,0.8263937630221918
12.0,0,1,1,1,1.5,3,1,1,1,6.68586094706836,0.0,15.0,39.0,2.0,0,True,False,False,True,False,False,False,False,False,1,1,0.8134876323879399,1,0.8625671039269279
19.0,1,0,1,1,2.0,3,1,1,1,5.993961427306569,0.0,8.0,50.0,1.0,0,True,False,False,False,False,False,False,True,False,1,0,0.4904916957431977,1,0.5310324271285844
13.0,1,0,1,1,1.3333333333333333,3,0,1,0,6.90875477931522,6.621405651764134,5.0,43.0,1.0,0,False,False,False,False,False,False,False,False,False,0,0,0.4271364732908646,1,0.5251901477611265
8.0,0,0,1,1,1.0,3,1,1,1,8.160803920954665,0.0,17.0,43.0,1.0,0,True,False,True,False,False,False,False,False,False,0,0,0.4343184774155756,0,0.38470534769904835
9.0,0,0,1,1,3.0,3,0,0,0,6.2166061010848646,6.621405651764134,15.0,44.0,2.0,0,True,False,False,False,False,False,False,False,False,0,1,0.5357528266596701,1,0.5393181471754318
17.0,1,0,1,1,7.0,2,1,1,1,5.707110264748875,0.0,6.0,32.0,2.0,0,False,False,False,False,False,False,False,False,True,0,0,0.32359044769391443,0,0.3282847157218689
15.0,0,0,1,1,1.6666666666666667,3,1,1,1,6.55250788703459,7.186144304522325,12.0,43.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7525234107066916,1,0.7788927894275706
11.0,1,0,1,1,2.0,2,1,1,1,5.5254529391317835,6.775366090936392,12.0,39.0,1.0,0,False,False,True,False,False,False,False,False,False,0,0,0.3479921324613156,0,0.30519348613132036
17.0,1,0,1,1,1.0,3,1,1,1,7.0909098220799835,0.0,17.0,70.0,1.0,0,True,False,False,False,False,False,False,True,False,1,0,0.4937854618523063,0,0.46993111701656076
14.0,0,0,1,1,3.0,3,1,0,0,6.2166061010848646,0.0,5.0,57.0,1.0,0,False,False,False,False,False,False,False,False,False,1,1,0.5534821984989984,1,0.5202596978219539
18.0,1,0,1,1,1.0,3,1,1,1,6.68586094706836,7.601402334583733,19.0,48.0,1.0,0,True,True,False,False,False,False,False,False,False,0,0,0.2687671597140185,0,0.2988234707388984
5.0,1,1,1,0,1.6666666666666667,2,0,1,1,4.61512051684126,7.115582126184454,8.0,47.0,1.0,0,False,False,False,False,False,False,True,False,False,0,0,0.35752357131121015,0,0.3710835724628825
13.0,0,0,1,1,4.0,2,1,1,1,6.2166061010848646,7.330405211844402,12.0,34.0,2.0,0,False,True,False,False,False,False,False,False,False,0,0,0.2239396942880462,0,0.2489185523431887
12.0,1,0,1,1,1.6666666666666667,2,0,0,1,6.803505257608338,5.8888779583328805,17.0,33.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.3536113790677655,0,0.3485930302109627
